===================>......] - ETA: 96s - loss: 0.4327 - acc: 0.8364 
 92/140 [==================>...........] - ETA: 185s - loss: 0.4345 - acc: 0.8405
 93/140 [==================>...........] - ETA: 182s - loss: 0.4336 - acc: 0.8406
 94/140 [===================>..........] - ETA: 179s - loss: 0.4332 - acc: 0.8414
 95/140 [===================>..........] - ETA: 175s - loss: 0.4324 - acc: 0.8419
 96/140 [===================>..........] - ETA: 171s - loss: 0.4320 - acc: 0.8426
 97/140 [===================>..........] - ETA: 167s - loss: 0.4345 - acc: 0.8425
 98/140 [====================>.........] - ETA: 163s - loss: 0.4342 - acc: 0.8420
 99/140 [====================>.........] - ETA: 159s - loss: 0.4331 - acc: 0.8426
100/140 [====================>.........] - ETA: 155s - loss: 0.4334 - acc: 0.8423
101/140 [====================>.........] - ETA: 151s - loss: 0.4336 - acc: 0.8417
102/140 [====================>.........] - ETA: 148s - loss: 0.4338 - acc: 0.8419
103/140 [=====================>........] - ETA: 144s - loss: 0.4333 - acc: 0.8415
104/140 [=====================>........] - ETA: 140s - loss: 0.4329 - acc: 0.8412
105/140 [=====================>........] - ETA: 136s - loss: 0.4324 - acc: 0.8414
106/140 [=====================>........] - ETA: 132s - loss: 0.4319 - acc: 0.8417
107/140 [=====================>........] - ETA: 128s - loss: 0.4312 - acc: 0.8421
108/140 [======================>.......] - ETA: 125s - loss: 0.4299 - acc: 0.8426
109/140 [======================>.......] - ETA: 120s - loss: 0.4313 - acc: 0.8417
110/140 [======================>.......] - ETA: 116s - loss: 0.4309 - acc: 0.8420
111/140 [======================>.......] - ETA: 112s - loss: 0.4308 - acc: 0.8418
112/140 [=======================>......] - ETA: 109s - loss: 0.4292 - acc: 0.8425
113/140 [=======================>......] - ETA: 105s - loss: 0.4278 - acc: 0.8431
114/140 [=======================>......] - ETA: 101s - loss: 0.4267 - acc: 0.8436
115/140 [=======================>......] - ETA: 97s - loss: 0.4274 - acc: 0.8435 
116/140 [=======================>......] - ETA: 94s - loss: 0.4253 - acc: 0.8443
117/140 [========================>.....] - ETA: 90s - loss: 0.4233 - acc: 0.8451
118/140 [========================>.....] - ETA: 86s - loss: 0.4228 - acc: 0.8451
119/140 [========================>.....] - ETA: 82s - loss: 0.4238 - acc: 0.8448
120/140 [========================>.....] - ETA: 78s - loss: 0.4239 - acc: 0.8449
121/140 [========================>.....] - ETA: 74s - loss: 0.4227 - acc: 0.8450
122/140 [=========================>....] - ETA: 70s - loss: 0.4227 - acc: 0.8444
123/140 [=========================>....] - ETA: 66s - loss: 0.4224 - acc: 0.8448
124/140 [=========================>....] - ETA: 62s - loss: 0.4225 - acc: 0.8445
125/140 [=========================>....] - ETA: 58s - loss: 0.4220 - acc: 0.8446
126/140 [==========================>...] - ETA: 54s - loss: 0.4216 - acc: 0.8449
127/140 [==========================>...] - ETA: 51s - loss: 0.4206 - acc: 0.8450
128/140 [==========================>...] - ETA: 47s - loss: 0.4201 - acc: 0.8450
129/140 [==========================>...] - ETA: 43s - loss: 0.4212 - acc: 0.8448
130/140 [==========================>...] - ETA: 39s - loss: 0.4208 - acc: 0.8451
131/140 [===========================>..] - ETA: 35s - loss: 0.4230 - acc: 0.8445
132/140 [===========================>..] - ETA: 31s - loss: 0.4215 - acc: 0.8451
133/140 [===========================>..] - ETA: 27s - loss: 0.4223 - acc: 0.8447
134/140 [===========================>..] - ETA: 23s - loss: 0.4225 - acc: 0.8446
135/140 [===========================>..] - ETA: 19s - loss: 0.4224 - acc: 0.8446
136/140 [============================>.] - ETA: 15s - loss: 0.4227 - acc: 0.8442
137/140 [============================>.] - ETA: 11s - loss: 0.4222 - acc: 0.8443
138/140 [============================>.] - ETA: 7s - loss: 0.4223 - acc: 0.8439 
139/140 [============================>.] - ETA: 3s - loss: 0.4223 - acc: 0.8441
140/140 [==============================] - 568s - loss: 0.4241 - acc: 0.8434 - val_loss: 0.5834 - val_acc: 0.8228
Epoch 111/200
  1/140 [..............................] - ETA: 484s - loss: 0.4708 - acc: 0.8750
  2/140 [..............................] - ETA: 488s - loss: 0.5415 - acc: 0.8203
  3/140 [..............................] - ETA: 441s - loss: 0.4832 - acc: 0.8281
  4/140 [..............................] - ETA: 435s - loss: 0.4842 - acc: 0.8242
  5/140 [>.............................] - ETA: 439s - loss: 0.4525 - acc: 0.8344
  6/140 [>.............................] - ETA: 431s - loss: 0.4429 - acc: 0.8359
  7/140 [>.............................] - ETA: 412s - loss: 0.4409 - acc: 0.8348
  8/140 [>.............................] - ETA: 412s - loss: 0.4396 - acc: 0.8301
  9/140 [>.............................] - ETA: 415s - loss: 0.4582 - acc: 0.8281
 10/140 [=>............................] - ETA: 400s - loss: 0.4796 - acc: 0.8172
 11/140 [=>............................] - ETA: 398s - loss: 0.4743 - acc: 0.8239
 12/140 [=>............................] - ETA: 394s - loss: 0.4694 - acc: 0.8242
 13/140 [=>............................] - ETA: 391s - loss: 0.4725 - acc: 0.8233
 14/140 [==>...........................] - ETA: 393s - loss: 0.4784 - acc: 0.8248
 15/140 [==>...........................] - ETA: 398s - loss: 0.4712 - acc: 0.8292
 16/140 [==>...........................] - ETA: 399s - loss: 0.4676 - acc: 0.8301
 17/140 [==>...........................] - ETA: 401s - loss: 0.4655 - acc: 0.8263
 18/140 [==>...........................] - ETA: 401s - loss: 0.4639 - acc: 0.8290
 19/140 [===>..........................] - ETA: 397s - loss: 0.4531 - acc: 0.8339
 20/140 [===>..........................] - ETA: 405s - loss: 0.4511 - acc: 0.8344
